,ref_de,orig_en,trans_de
137,Die Etablierung des universalen Partnerprinzips vom ausgewogenen Geben und Nehmen in der Wirtschaft war ihm ein zentrales Anliegen.,A central concern for him was the establishment of a universal principle of a balanced give and take in economics.,Ein zentrales Anliegen für ihn war die Etablierung eines universellen Prinzips des ausgewogenen Gebens und Nehmens in der Wirtschaft.
138,"Die Palästinenser glauben auch, ein Recht zur Selbstverteidigung zu haben.",The Palestinians also believe they have a right to self-defence.,"Die Palästinenser glauben ebenfalls, dass sie ein Recht auf Selbstverteidigung haben."
139,"Wenn du nicht das Produkt finden kannst, das deinen Notwendigkeiten entspricht, bitte nicht zögern, mit uns in Verbindung zu treten, weil wir zweifellos die beste Lösung für dich haben.","If you cannot find the product that suits your needs, please do not hesitate to contact us, because we certainly will have the best solution for you.","Falls Sie das Produkt, das Ihren Anforderungen entspricht, nicht finden können, zögern Sie bitte nicht, uns zu kontaktieren, denn wir werden mit Sicherheit die beste Lösung für Sie haben."
140,"Well, that's assuming all things are equal, and of course in reality they seldom ...","General Motors later turned up the heat with the turbocharged Cobalt SS and HHR SS, ...","General Motors erhöhte später den Druck mit dem turbogeladenen Cobalt SS und HHR SS, ..."
141,"Eine zweite, steilere Schlittelbahn von Darlux nach Bergün bietet verwegenen Schlittlern besonderes Vergnügen. Bergün verfügt auch über ein Skigebiet.","A second, steeper sledging run from Darlux to Bergün is tremendous fun, especially for bold sledgers!","Eine zweite, steilere Rodelbahn von Darlux nach Bergün macht besonders mutigen Rodlern großen Spaß!"
142,"Grundlage ist eine systemische Betrachtung Ihrer Situation, d.h. Ihre Chancen, Anforderungen, Krisen, Konflikte usw. werden im Rahmen Ihres beruflichen Umfeldes betrachtet - nicht als Ihre persönlichen Defizite.","your chances, challenges, crises, conflicts etc. It will be examined in the context of your professional interactions - not as personal shortcomings.","Ihre Chancen, Herausforderungen, Krisen, Konflikte usw. Diese werden im Kontext Ihrer beruflichen Interaktionen betrachtet – nicht als persönliche Schwächen."
143,Diese Fragen sollten Angelegenheiten nationaler Kompetenzen sein.,These issues should be matters of national competence.,Diese Angelegenheiten sollten in die nationale Zuständigkeit fallen.
144,"Diese Entschließung zu den Verstößen gegen Menschenrechte in China, besonders im Fall von Liu Xiaobo, sind Beweis einer vereinfachenden Herangehensweise an Probleme, mit denen die chinesische Gesellschaft konfrontiert ist.","This resolution relating to the violation of human rights in China, particularly in the case of Liu Xiaobo, is proof of a simplistic approach to the issues which Chinese society is facing.","Diese Entschließung in Bezug auf die Verletzung der Menschenrechte in China, insbesondere im Fall von Liu Xiaobo, ist ein Beweis für einen simplistischen Ansatz hinsichtlich der Probleme, denen die chinesische Gesellschaft gegenübersteht."
145,"Im Vergleich zur angewandten Forschung und Entwicklung ist Grundlagenforschung billig. Und genau dies ist eine solide, wenngleich angeschlagene, russische Tradition, auf die gebaut werden kann.","Compared to R&D activities, fundamental research is cheap and it is here that, although damaged, a solid Russian tradition remains that can be built upon.","Im Vergleich zu F&E-Aktivitäten ist Grundlagenforschung kostengünstig, und es ist hier, dass trotz Beschädigungen eine solide russische Tradition erhalten geblieben ist, auf die aufgebaut werden kann."
146,Gabriel ist nicht restlos überzeugt.,Gabriel is not entirely convinced.,Gabriel ist nicht ganz überzeugt.
147,"Bitte informieren Sie das Hotel im Fall Ihrer Ankunft nach 18:00 Uhr, um den Check-in zu organisieren!","If you are planning to arrive after 18:00, please contact the hotel directly for instructions regarding late check-in procedure.","Wenn Sie nach 18:00 Uhr ankommen möchten, kontaktieren Sie bitte das Hotel direkt, um Anweisungen bezüglich des Verfahrens für einen späten Check-in zu erhalten."
148,"Doch es gibt einen Aspekt dieser Wahl, der so gefährlich ist, dass er alles andere überwiegen könnte.",But there is one aspect of this election so dangerous that it might outweigh everything else.,"Aber es gibt einen Aspekt dieser Wahl, der so gefährlich ist, dass er alles andere überwiegen könnte."
149,"Wie bekannt ist, haben die ASEM-Tagung und zuvor auch ein Treffen der Parlamentarier schon stattgefunden. Die Parlamentarier hatten also schon Gelegenheit, ihre Meinung zu diesem Prozess zu sagen.","Mr President, as we know, the ASEM meeting has already taken place, and the fact that it was preceded by a meeting of parliamentarians means that they have already had a chance to say what they think about this process.","Herr Präsident, wie wir wissen, hat das ASEM-Treffen bereits stattgefunden, und die Tatsache, dass ihm ein Treffen von Parlamentariern vorausging, bedeutet, dass diese bereits die Gelegenheit hatten, ihre Meinung zu diesem Prozess zu äußern."
150,"Was in grösseren Städten ""usus"" ist, gibt es ab heute nun auch für die Stadt Zug: Ein kompakter, handlicher und informativer Stadtprospekt ""Guide Zug"", in welchem die wichtigsten Sehenswürdigkeiten, Hotels, Restaurants usw. zweisprachig (D und E) vorgestellt sind.",Last weekend the bid made by Zug Town to stage the 16th Swiss Youth Music Festival was accepted!,"Am vergangenen Wochenende wurde das Angebot der Stadt Zug, das 16. Schweizer Jugendmusikfestival auszurichten, angenommen!"
151,"Kondensatableiter haben die Aufgabe, aus Druckluft-, Gas- und Dampfsystemen anfallende Flüssigkeiten bzw. Kondensat auszuschleusen und gegen das gasförmige Medium abzuschließen. Dies geschieht über die in die Gehäuse eingebauten Schwimmersteuerungen bzw. Thermostatik- oder Thermodynamik-Steuerungen.","Steam traps have the task to discharge the resulting liquids and/or condensate from compressed air, gas and steam systems and to prevent the outflow of the gaseous medium.","Dampfabscheider haben die Aufgabe, die entstehenden Flüssigkeiten und/oder das Kondensat aus Druckluft-, Gas- und Dampfsystemen abzuleiten und den Austritt des gasförmigen Mediums zu verhindern."
152,Der HP iPAQ 114 Classic Handheld ist ein stilvoller Personal Organizer für viel beschäftigte Benutzer.,The HP iPAQ 100 Classic Handheld is a stylish personal organiser for busy people from all walks of life.,Der HP iPAQ 100 Classic Handheld ist ein stilvoller persönlicher Organizer für vielbeschäftigte Menschen aus allen Lebensbereichen.
153,"Die Blütezeit beträgt 9-11 Wochen, bei guter Schimmel- und Spinnmilbenresistenz.","Flowering time is 9-11 weeks, with good mould and spider mite resistance.","Die Blütezeit beträgt 9-11 Wochen, mit guter Schimmel- und Spinnmilbenresistenz."
154,"In vielen Fällen sprechen wir darüber, ob wir uns einig sind oder nicht, aber eine Sache, über die wir uns einig sein sollten, ist diese Tragödie vor unserer Haustür - einige Hundert Kilometer von der südlichen Grenze der Europäischen Union entfernt -, die gerade jetzt stattfindet und schlimmer werden wird.","In many cases, we are talking about whether we agree or disagree, but one thing that we should be in agreement about is that this tragedy, which is on our doorstep - a few hundred kilometres from the European Union's southern frontier - is taking place right now, and will continue to grow.","In vielen Fällen diskutieren wir darüber, ob wir zustimmen oder nicht zustimmen, aber in einem Punkt sollten wir uns einig sein: Diese Tragödie, die sich unmittelbar vor unserer Haustür - nur wenige hundert Kilometer von der Südgrenze der Europäischen Union entfernt - abspielt, findet gerade jetzt statt und wird weiter wachsen."
155,Von schmal-zylindrisch bis kugelig gibt es viele Erscheinungsbilder. Unterschiedlich ist auch die Form der Spitze der Frucht – von kegelförmig zugespitzt über abgerundet bis hin zu von mehreren Rundungen eingekerbten Vertiefungen reicht die Vielfalt.,Capsicum is a genus of plant s from the nightshade family ( Solanaceae ).,Capsicum ist eine Pflanzengattung aus der Familie der Nachtschattengewächse (Solanaceae).
156,In Anbetracht der Tageszeit werde ich Sie mit diesem Wortspiel davonkommen lassen.,"Since we are so far into lunchtime, I shall let you get away with cheap puns.","Da wir schon so weit in der Mittagszeit sind, werde ich Ihnen die billigen Wortspiele durchgehen lassen."
157,"Viele Restaurants sind tagsüber geschlossen, und der Genuss von Alkohol und Zigaretten kann begrenzt werden. Einige Unterbrechungen können auch während des Eid al-Fitr auftreten.","During the lunar month of Ramadan that precedes Koriteh, Muslims fast during the day and feast at night and normal business patterns may be interrupted in a few instances.","Während des Mondmonats Ramadan, der dem Koriteh vorausgeht, fasten Muslime tagsüber und feiern nachts, was in einigen Fällen das normale Geschäftsleben unterbrechen kann."
158,Dieses Projekt muss zuallererst auf demokratischen Werten beruhen.,"That project must be based, first and foremost, on democratic values.",Dieses Projekt muss in erster Linie auf demokratischen Werten basieren.
159,({{TNG|Der Ehrenkodex}}) {{meta|Hagon wurde von [[James Louis Watkins]] gespielt und erhielt seine [[Liste der Synchronsprecher|deutsche Stimme]] von [[Michael Deffert]] (TV-Version).,"Hagon's feelings for her were noticed by Yareena and she made him her first one instead, giving him control over her wealth and power. ({{TNG|Code of Honor}}) {{bginfo|Hagon was played by actor [[James Louis Watkins]].","Hagons Gefühle für sie wurden von Yareena bemerkt, und sie machte ihn stattdessen zu ihrem Ersten, wodurch er Kontrolle über ihren Reichtum und ihre Macht erhielt. ({{TNG|Code of Honor}}) {{bginfo|Hagon wurde von dem Schauspieler [[James Louis Watkins]] gespielt."
160,"Während wir uns vom Embryo weiterentwickelten, trafen sie eine Reihe von Entscheidungen und folgten einem bestimmten Entwicklungspfad, um zum Beispiel eine Nerven- oder Leberzelle zu werden.","As you developed from an embryo, they made a series of decisions to follow a particular developmental path to become, say, a nerve cell or a liver cell.","Als Sie sich aus einem Embryo entwickelten, trafen sie eine Reihe von Entscheidungen, um einem bestimmten Entwicklungsweg zu folgen, um beispielsweise eine Nervenzelle oder eine Leberzelle zu werden."
161,"Der Toyota Prius, ein Hybrid-Elektrofahrzeug, das im Jahr 1997 in Japan vorgestellt wurde, markierte in dieser Hinsicht einen ersten Durchbruch.","The Toyota Prius, a hybrid-electric vehicle first introduced in Japan in 1997, marked an initial breakthrough.","Der Toyota Prius, ein Hybrid-Elektrofahrzeug, das erstmals 1997 in Japan eingeführt wurde, stellte einen ersten Durchbruch dar."
162,"Shell und BP investieren gewaltige Geldbeträge in die Photovoltaik, die Windenergie und eine ganze Palette von Technologien zur Herstellung synthetischer Kraftstoffe.",Shell and BP are investing huge sums of money in photovoltaics and wind and a whole range of synthetic fuel technologies.,Shell und BP investieren enorme Geldbeträge in Photovoltaik und Windenergie sowie in eine Vielzahl von Technologien für synthetische Kraftstoffe.
163,Das System für die Annahme der Finanzierung für politische Parteien auf europäischer Ebene sollte vereinfacht werden.,The system for approving funding for political parties at the European level should be simplified.,Das System zur Genehmigung der Finanzierung von politischen Parteien auf europäischer Ebene sollte vereinfacht werden.
164,"Unser Gast erhält eine kleine, saisonale Stärkung (Bsp. Obstschüssel im Eingangsbereich, Erfrischungsgetränk).","On arrival, our guests are treated to a small, complementary seasonal refreshment, such as fruit or a soft drink, in the entrance area.","Bei der Ankunft erhalten unsere Gäste im Eingangsbereich eine kleine, kostenlose saisonale Erfrischung, wie Obst oder ein Erfrischungsgetränk."
165,"Gerne können sie auch direkt nach einem bestimmten Händler suchen, indem Sie seinen Namen eingeben.",You can also search a distributor directly by entering the name of the shop.,"Sie können auch direkt nach einem Händler suchen, indem Sie den Namen des Geschäfts eingeben."
166,"Das Holland Inn Hotel Wemeldinge ist ein komfortables, kleines Dreisternehotel. Es verfügt über 31 Zimmer mit Badezimmer und Dusche, Fernseher und Telefon.","Middelburg, in the heart of Zeeland, was originally the central fortress in the defence line built to protect the island of Walcheren more than a thousand years ago.","Middelburg, im Herzen von Zeeland, war ursprünglich die zentrale Festung in der Verteidigungslinie, die vor mehr als tausend Jahren zum Schutz der Insel Walcheren erbaut wurde."
167,"Es bestand die Absicht, dies im Rahmen einer Konferenz am 20. November zu tun, beim Treffen der dauerhaften zwischenstaatlichen GruppeL'Europe de l'Enfance, aber ich habe nun erfahren, dass der Ratsvorsitz das Problem nicht erwähnen wird.","The intention was to do this at a conference on 20 November when the Permanent Intergovernmental Group L'Europe de l'Enfance is to meet, but I have now heard that the Presidency will not be raising this issue.","Der Plan war, dies auf einer Konferenz am 20. November zu tun, wenn die Ständige Zwischenstaatliche Gruppe L'Europe de l'Enfance zusammentreffen wird, aber ich habe nun erfahren, dass die Präsidentschaft dieses Thema nicht ansprechen wird."
168,"Obgleich die vom Sicherheitsrat behandelten Fragen des Friedens und der Sicherheit die größte Aufmerksamkeit der Medien auf sich lenken, wäre es doch falsch, wenn wir unsere Aufmerksamkeit und Unterstützung ausschließlich diesen Fragen zukommen ließen.","Whilst the issues of peace and security that are dealt with by the Security Council attract most of the media attention, it would be a mistake to focus our attention and support only on those questions.","Während die Themen Frieden und Sicherheit, die vom Sicherheitsrat behandelt werden, den größten Teil der Medienaufmerksamkeit auf sich ziehen, wäre es ein Fehler, unsere Aufmerksamkeit und Unterstützung nur auf diese Fragen zu konzentrieren."
169,"Aber sind diese Unterschiede wirklich so gravierend, dass sie die volkswirtschaftliche Leistung so nachhaltig beeinflussen können?",But are these differences really so large as to affect macroeconomic performance so dramatically?,"Sind diese Unterschiede wirklich so groß, dass sie die makroökonomische Leistung so dramatisch beeinflussen?"
170,"Gewöhnlich sind Sicherheitsaktualisierungen für den Unstable-Zweig verfügbar, wenn der Paketbetreuer ein neues Paket baut, und für den Stable-Zweig, wenn das Security Team eine neue Version hochlädt und ein DSA veröffentlicht.",Security updates are available for the unstable branch usually when the package maintainer makes a new package and for the stable branch when the Security Team make a new upload and publish a DSA.,"Sicherheitsupdates sind für den instabilen Zweig normalerweise verfügbar, wenn der Paketbetreuer ein neues Paket erstellt, und für den stabilen Zweig, wenn das Sicherheitsteam einen neuen Upload macht und eine DSA veröffentlicht."
171,• Aufgrund der eruierten Frequenz kann eine Klangtherapie zur Eindämmung des Tinnitus-Geräusches oder auch ganz spezifisch zur Einschlafhilfe bei Schlafstörungen erstellt werden.,"Based on the frequency established, sound therapy can be created for the blocking of the tinnitus noise or specifically as a sleep aid for sleep disturbances also.",Basierend auf der festgelegten Frequenz kann eine Klangtherapie zur Blockierung des Tinnitusgeräuschs oder speziell als Schlafhilfe bei Schlafstörungen erstellt werden.
172,"Ferner fragen wir uns, ob in Stockholm die seit langem angekündigte und immer wieder verschobene Gründung der Agentur für Lebensmittelsicherheit beschlossen wird, und wir fordern hierfür eine mögliche Kandidatur der Stadt Parma.","We are wondering, too, whether Stockholm will mark the birth of the Food Safety Agency, announced long ago and always postponed, and we put forward the city of Parma as the most appropriate candidate for its location.","Wir fragen uns ebenfalls, ob in Stockholm die Gründung der Lebensmittelbehörde, die schon lange angekündigt und immer wieder verschoben wurde, stattfinden wird, und wir schlagen die Stadt Parma als den geeignetsten Standort dafür vor."
173,"Jetzt ist die beste Zeit, die weitere Entwicklung von Ruby zu verfolgen, denn Ruby 2.0 ist in Arbeit.","Now is a fantastic time to follow Ruby’s development, with Ruby 2.0 development underway.","Derzeit ist ein fantastischer Zeitpunkt, um die Entwicklung von Ruby zu verfolgen, da die Entwicklung von Ruby 2.0 im Gange ist."
174,"Der Bahnhof von Pisa, der 100 m von der Bushaltestelle ist 12 Km von Marina di Pisa entfernt, 18 Km von Tirrenia. Der Bus nach Pisa fährt jede halbe Stunde.","Pisa railway station: 12 km from Marina di Pisa, 18 km from Tirrenia rail station 100 mt from bus station.","Bahnhof Pisa: 12 km von Marina di Pisa, 18 km vom Bahnhof Tirrenia, 100 m von der Bushaltestelle entfernt."
175,schriftlich. - Dies ist die nützlichste Entschließung zwischen 2009 und 2011.,in writing. - This is the most useful resolution for the whole period from 2009 to 2011.,schriftlich. - Dies ist der nützlichste Beschluss für den gesamten Zeitraum von 2009 bis 2011.
176,"Denken Sie nur an die jüngsten internationalen Hilfsprogramme in Rußland und daran, was mit den IWF-Mitteln geschah, die eigentlich zur Stützung der russischen Währung gedacht waren.","Just think of the international aid programmes in Russia recently, and what happened with the IMF aid which was meant to support the Russian currency.","Denken Sie nur an die internationalen Hilfsprogramme in Russland in letzter Zeit und daran, was mit den IWF-Hilfen passiert ist, die zur Unterstützung der russischen Währung gedacht waren."
177,"Als Teil der Überprüfung könnten zusammen mit regelmäßigen, verlässlichen Stresstests bei bestehenden Kraftwerken zusätzlich strengere Sicherheitsanforderungen, Einschränkungen (wie Erdbebengebiete) und strenge Bauvorschriften für neue Kernkraftwerke eingeführt werden.","As part of the review, stricter safety specifications, restrictions (such as earthquake zones) and strict construction specifications for new nuclear plants could be added, together with regular, reliable stress testing of existing plants.","Im Rahmen der Überprüfung könnten strengere Sicherheitsvorgaben, Einschränkungen (wie Erdbebenzonen) und strenge Bauspezifikationen für neue Kernkraftwerke hinzugefügt werden, zusammen mit regelmäßigen, zuverlässigen Stresstests für bestehende Anlagen."
178,Diese Angebote werden ständig aktualisiert und sind nur online verfügbar.,These offers are being constantly updated and are available online only.,Diese Angebote werden ständig aktualisiert und sind nur online verfügbar.
179,"Rund um den Fuschlsee finden sich in den zahlreichen Strandbädern und an den Badeplätzen Möglichkeiten, viele Sportarten auszuüben: Fußball, Frisbee, Badminton-Schläger oder Softtennis-Set sollten in Ihrem Urlaubs-Gepäck nicht fehlen.","There are various public beaches dotted around the lake and here you will find plenty or room to enjoy all sorts of sports, not just swimming. A football, frisbee, badminton and beach tennis rackets should be included on your list of things to bring on holiday.","Rund um den See gibt es verschiedene öffentliche Strände, an denen Sie viel Platz finden, um alle möglichen Sportarten zu genießen, nicht nur Schwimmen. Ein Fußball, ein Frisbee, Badminton- und Beachtennisschläger sollten auf Ihrer Liste der Dinge stehen, die Sie in den Urlaub mitbringen."
180,Er wird auf 5 Jahre gewählt und erfüllt auch z.T. eine politische Funktion.,"Subsequently, in 1947, an agreement was signed that established the post-Bretton Woods organizations as independent, specialized agencies and observers within the UN framework.","Im Jahr 1947 wurde daraufhin ein Abkommen unterzeichnet, das die nach Bretton Woods gegründeten Organisationen als unabhängige, spezialisierte Agenturen und Beobachter innerhalb des UN-Rahmens etablierte."
181,Der superabsorbierende Kern und das System ODOUR DEFENCE der Schutzeinlagen Soffisof Lady gewährleisten maximale Sicherheit gegen Tröpfeln und unangenehme Gerüche und hinterlassen ein andauerndes Gefühl von Frische und Trockenheit.,"The super-absorbent core and the ODOUR DEFENCE system of the Soffisof Lady protections guarantee maximum security against leakages and unpleasant smells, leaving a long-lasting sensation of freshness and dry.",Der superabsorbierende Kern und das ODOUR DEFENCE-System der Soffisof-Lady-Schutzvorrichtungen garantieren maximalen Schutz vor Auslaufen und unangenehmen Gerüchen und hinterlassen ein langanhaltendes Gefühl von Frische und Trockenheit.
182,"Doch den letzten Schritt, nämlich Mittel zu schaffen, um diejenigen strafrechtlich zu verfolgen, die wir der Verletzung unserer Gesetze für schuldig befunden haben, gehen wir nicht.","But we do not take the final step, which is to create the means to prosecute people who we have found guilty of violating our laws.","Aber wir ergreifen nicht den letzten Schritt, nämlich Mittel zu schaffen, um Personen zu verfolgen, die wir für schuldig befunden haben, gegen unsere Gesetze verstoßen zu haben."
183,Der Aufsichtsrat hat den vom Vorstand aufgestellten Jahresabschluss und den Konzernabschluss in der Sitzung vom 23. März 2009 entsprechend der Empfehlung des Finanz- und Prüfungsausschusses gebilligt.,The Supervisory Board approved the annual financial statements prepared by the Executive Board and the consolidated financial statements at its meeting on 23 March 2009 in line with the Audit and Finance Committee’s recommendation.,Der Aufsichtsrat hat die vom Vorstand aufgestellten Jahresabschlüsse und die Konzernabschlüsse in seiner Sitzung am 23. März 2009 entsprechend der Empfehlung des Prüfungs- und Finanzausschusses gebilligt.
184,Die Digi-Key-Symbolleiste wurde zur schnellen und einfachen Integration in Ihren bevorzugten Browser entwickelt.,The Digi-Key Toolbar has been designed for quick and simple integration into your favorite web browser.,Die Digi-Key-Toolbar wurde für eine schnelle und einfache Integration in Ihren bevorzugten Webbrowser entwickelt.
185,"Das Europäische Parlament hat gerade den Bericht Anastassopoulos angenommen, der - obgleich in etwas unklarerer Form als das ursprüngliche Dokument - eine Verpflichtung zur Dezentralisierung der Europawahlen in sämtlichen Mitgliedstaaten mit mehr als 20 Millionen Einwohnern vorsieht.",The European Parliament has just adopted the Anastassopoulos report which provides - although in a slightly more obscure manner than the initial document - for an obligation to regionalise the European elections in all the Member States where the population is greater than 20 million.,"Das Europäische Parlament hat soeben den Anastassopoulos-Bericht angenommen, der - obwohl in etwas undurchsichtigerer Form als das ursprüngliche Dokument - eine Verpflichtung zur Regionalisierung der Europawahlen in allen Mitgliedstaaten vorsieht, in denen die Bevölkerung mehr als 20 Millionen beträgt."
186,"It is near to the main road to Oslo, but still quiet.",Frokost var også en positiv opplevelse.,Frühstück war auch eine positive Erfahrung.
187,"Bei uns finden Sie Mobilkräne und selbstfahrende Gelände-Kräne von Liebherr, Coles, Grove.","You can find here truck mounted cranes and mobile cranes of LIEBHERR, COLES, GROVE purposed to terrain operation.","Hier finden Sie fahrbare Krane und Mobilkrane von LIEBHERR, COLES, GROVE, die für den Geländeeinsatz bestimmt sind."
188,"Navara, der Unternehmensbereich Software von RAM Mobile Data, hat einen wichtigen Auftrag in den Vereinigten Staaten bekommen. Das Unternehmen liefert einer der Logistikgruppen innerhalb des Verteidigungsministeriums ein mobiles Anlagenmanagement.","Navara is pleased to announce that the Navara Mobility Suite, its Windows Mobile, Windows Desktop x86, and Blackberry clients have been certified by AT&T and an independent testing firm for use on the AT&T network.","Navara freut sich, bekannt zu geben, dass die Navara Mobility Suite, ihre Windows Mobile-, Windows Desktop x86- und Blackberry-Clients, von AT&T und einer unabhängigen Prüfungsfirma für die Nutzung im AT&T-Netzwerk zertifiziert wurden."
189,Unser Hotel liegt im Zentrum Roms zwischen den Hauptbahnhof Termini und der berühmten Porta Pia.,"Close to the hotel a lot of busses pass by, so if you want to go and visit any monuments like the colosseum, the vatican or the park Villa Borghese you only need a couple of minutes to hop onto the public transportation.","In der Nähe des Hotels fahren viele Busse vorbei, sodass Sie, wenn Sie Sehenswürdigkeiten wie das Kolosseum, den Vatikan oder den Park Villa Borghese besuchen möchten, nur ein paar Minuten brauchen, um in die öffentlichen Verkehrsmittel zu steigen."
190,"Das Verwaltungscenter der Kommune befindet sich in Dalen, einer Stadt, welche sich besonders durch das alte und ehrenwerte Dalen - Hotel auszeichnet. Die Landschaft in Tokke ist abwechslungsreich und aufregend.",Dalen is the administrative centre where we find the venerable Dalen Hotel.,"Dalen ist das Verwaltungszentrum, wo wir das ehrwürdige Dalen Hotel finden."
191,"Mit Holzfußboden, schönen Möbeln und Farben ausgestattet, gibt es zudem einen Balkon, von dem aus Sie auf einen ruhigen und tropisch bepflanzten Friedhof schauen.","Fitted with hardwood floors, subtle colours and fine furnishings, there are also a pretty balcony, regally overlooking the tropical and peaceful cemetery here.","Ausgestattet mit Holzböden, dezenten Farben und feinen Möbeln gibt es auch einen hübschen Balkon, der majestätisch auf den tropischen und friedlichen Friedhof hier blickt."
192,"Unusere Freunde aus Chile fanden viele Sachen in unserem schul-eigenen Laden, die sie kauften und mit nach Chile nahmen.",Our friends from Chile found a lot of goods at our shop which they bought to take back home.,"Unsere Freunde aus Chile fanden viele Waren in unserem Laden, die sie kauften, um sie mit nach Hause zu nehmen."
193,"   Frau Präsidentin, verehrte Kolleginnen und Kollegen! In den letzten Monaten erreichten uns nacheinander zwei Meldungen.","   Madam President, ladies and gentlemen, two pieces of information have followed one after the other in recent months.","Frau Präsidentin, meine Damen und Herren, in den letzten Monaten sind zwei Informationen nacheinander aufgetaucht."
194,"Der Kommissar hat das heute Morgen bereits gewürdigt, und ich denke, dass wir dies auch den vielen Besuchergruppen, die fragen: Welche Möglichkeiten habt ihr denn überhaupt im Europäischen Parlament? als Beispiel schildern könnten.",The Commissioner acknowledged as much this morning and I think that we could use this as an example to the numerous groups of visitors who question exactly what we in the European Parliament can do.,"Der Kommissar hat dies heute Morgen anerkannt, und ich denke, dass wir dies als Beispiel für die zahlreichen Besuchergruppen verwenden könnten, die genau hinterfragen, was wir im Europäischen Parlament tun können."
195,we stayed in the hotel on a city break and to go to a concert it is very accessable for limerick city and if you wanted to tour the west it is very near co claire.,The parking arrangements were excellent and secure- instructions on how to get to you were not clear.,"Die Parkmöglichkeiten waren ausgezeichnet und sicher - die Anweisungen, wie man zu Ihnen gelangt, waren nicht klar."
196,"Wer verteidigt denn diese Spekulanten, wenn auf der anderen Seite Krankenschwestern und Lehrer Spitzensteuern zahlen?","Who is going to defend these speculators, when nurses and teachers are paying top rates of tax?","Wer wird diese Spekulanten verteidigen, wenn Krankenschwestern und Lehrer die höchsten Steuersätze zahlen?"
197,"Eine Besonderheit von Toronto sind die Fähren , die Toronto Island (im Ontariosee, direkt vor der Stadt) mit dem Festland verbinden. Vom Fähranleger am Südende der Yonge St. kann man Hanlan's Point, Centre Island und Ward's Island anlaufen.","Other TTC services are provided by buses, streetcars, the Scarborough RT line, and Wheel-Trans vans (for people with disabilities).","Andere TTC-Dienste werden von Bussen, Straßenbahnen, der Scarborough-RT-Linie und Wheel-Trans-Vans (für Menschen mit Behinderungen) angeboten."
198,Nichts ist weniger wichtig als Reputation unserer Gesellschaft.,Nothing is more important than the reputation of our company.,Nichts ist wichtiger als der Ruf unseres Unternehmens.
199,"Wir haben gezeigt, dass unsere Sozialschutzsysteme in der Lage waren, sich auf die außergewöhnlichen Umstände einzustellen und haben neue Sicherheitsnetze geschaffen.",We have demonstrated that our social protection systems have been able to respond to exceptional circumstances and by providing new safety nets.,"Wir haben gezeigt, dass unsere Sozialschutzsysteme in der Lage sind, auf außergewöhnliche Umstände zu reagieren und neue Sicherheitsnetze bereitzustellen."
